use,car
2.60175,0.0
2.689216666666667,0.0
2.8964,0.0
2.890083333333333,0.0
3.9772666666666665,0.0
1.8330333333333333,0.0
1.4864166666666667,0.0
1.5342166666666668,0.0
1.9575,0.0
3.6985166666666665,0.0
1.73215,0.0
1.7591333333333332,0.0
3.334083333333333,1.4623833333333331
3.40355,1.9969
0.8735,0.0
1.0066166666666665,0.0
1.5351833333333331,0.0
0.6350166666666666,0.0
1.2611166666666669,0.0
2.124816666666667,0.0
2.269416666666667,0.2494166666666666
5.364533333333333,3.31035
5.329183333333333,3.304266666666667
5.393233333333333,3.000833333333333
