use,car
1.0822,0.0
0.7689833333333331,0.0
0.7471333333333331,0.0
0.7533166666666666,0.0
0.4820166666666666,0.0
0.7065,0.0
0.4823833333333332,0.0
1.3018,0.5626333333333332
0.39665,0.0
0.8623166666666666,0.0
1.5659,0.0
2.7584666666666666,0.0
1.6989833333333333,0.0
1.1668333333333332,0.0
2.191866666666667,1.2172666666666667
3.4753333333333334,2.046816666666667
1.5326166666666667,0.0
1.35845,0.0
4.986366666666666,3.5124166666666667
3.090866666666667,1.6285666666666667
1.2638166666666668,0.0
1.1352666666666669,0.0
1.23025,0.0
0.69135,0.0
