use,car
1.4731833333333333,0.0
1.4491666666666667,0.0
1.4536666666666669,0.0
1.3675166666666667,0.0
1.3509666666666669,0.0
1.9984333333333333,0.0
1.79865,0.0
2.50235,0.0021666666666666666
3.240283333333333,0.004166666666666667
1.57295,0.00021666666666666668
1.3880666666666668,0.0
1.3229,0.0
1.3206666666666669,0.0
1.1228166666666668,0.0
1.9331333333333331,0.00185
1.30015,0.0
1.3068166666666667,0.0
4.057083333333333,0.0085
1.556366666666667,0.0
1.6191833333333332,0.0
2.4327666666666667,0.0017333333333333333
1.7663,0.0
1.4656333333333331,0.0
0.9949833333333332,0.0
