use,car
0.5495,0.0
0.4140333333333333,0.0
0.8105333333333331,0.0
0.6474833333333332,0.0
0.6508666666666666,0.0
0.48215,0.0
1.0559,0.0
0.7507666666666666,0.0
0.9673166666666664,0.0
0.6304,0.0
2.61795,0.3523166666666666
2.82465,2.1233666666666666
0.2975833333333333,0.0
0.3373,0.0
0.3394333333333333,0.0
0.3344666666666666,0.0
0.30515,0.0
1.0842,0.3690833333333333
6.492216666666667,3.3499833333333333
3.9177666666666666,3.3518833333333333
3.831683333333333,3.351433333333333
1.1525333333333332,0.742
0.4201666666666666,0.0
0.4161333333333333,0.0
